index,brand,series,processor,os,ssd,ram,display,price,link,pricing
0,asus,g733zw-ll139ws,intel core i9 12th gen,windows 11 home,1 tb,32 gb,17.3,44858616,https://www.flipkart.com/asus-rog-strix-scar-17-core-i9-12th-gen-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ti-g733zw-ll139ws-gaming-laptop/p/itm0e721469cc7ccpid=comgczujcbrgxyfx&lid=lstcomgczujcbrgxyfxt7vnuu&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_73&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgczujcbrgxyfx.search&ssid=3s0bamxoztl6qzgg1653219740289,44000000
1,asus,g533zw-ln136ws,intel core i9 12th gen,windows 11 home,1 tb,32 gb,15.6,43904137,https://www.flipkart.com/asus-rog-strix-scar-15-core-i9-12th-gen-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-3070-ti-g533zw-ln136ws-gaming-laptop/p/itmd6e8ba35232e4pid=comgczujvkgpccye&lid=lstcomgczujvkgpccyepssudz&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_74&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgczujvkgpccye.search&ssid=3s0bamxoztl6qzgg1653219740289,43000000
2,hp,16-e0351ax, ,windows 11 home,512 gb,16 gb,16.1,19870540,https://www.flipkart.com/hp-victus-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-16-e0351ax-gaming-laptop/p/itm3a869e89d6498pid=comg8n9hre7qyybe&lid=lstcomg8n9hre7qyybealdt8f&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_75&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comg8n9hre7qyybe.search&ssid=3s0bamxoztl6qzgg1653219740289,19000000
3,lenovo,ideapad gaming 3,amd ryzen 7 octa core 5th gen,windows 11 home,512 gb,16 gb,15.6,16744811,https://www.flipkart.com/lenovo-ideapad-gaming-3i-ryzen-7-octa-core-r7-5800h-5th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ach6-laptop/p/itmbc01bfc64700epid=comgd8z2j9jh7aax&lid=lstcomgd8z2j9jh7aaxojwv00&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_76&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgd8z2j9jh7aax.search&ssid=3s0bamxoztl6qzgg1653219740289,16000000
4,lenovo,yoga slim 7 14itl05,intel core i5 11th gen,windows 11 home,512 gb,16 gb,14,14506175,https://www.flipkart.com/lenovo-yoga-slim-7-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-82a300mbin-thin-light-laptop/p/itm8d670bbb74a5bpid=comgd8rmgdeubvsz&lid=lstcomgd8rmgdeubvszy8ibik&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_77&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgd8rmgdeubvsz.search&ssid=3s0bamxoztl6qzgg1653219740289,14000000
5,lenovo,yoga slim 7,intel core i7 11th gen,windows 11 home,512 gb,16 gb,14,14965280,https://www.flipkart.com/lenovo-yoga-slim-7-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itm4a202e05ce632pid=comgd8nwuvm8f5yg&lid=lstcomgd8nwuvm8f5ygeymimd&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_78&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgd8nwuvm8f5yg.search&ssid=3s0bamxoztl6qzgg1653219740289,14000000
6,lenovo,82c3(v15-igl), ,windows 10,256 gb,4 gb,15.6,5591339,https://www.flipkart.com/lenovo-v15-celeron-dual-core-4-gb-256-gb-ssd-windows-10-82c30053ih-thin-light-laptop/p/itmbb8fd7d46586epid=comgdf2cdx97jdpc&lid=lstcomgdf2cdx97jdpcnuvmws&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_79&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgdf2cdx97jdpc.search&ssid=3s0bamxoztl6qzgg1653219740289,5000000
7,lenovo,yoga 6,amd ryzen 7 octa core 5th gen,windows 11 home,1 tb,16 gb,13.3,17430318,https://www.flipkart.com/lenovo-yoga-6-ryzen-7-octa-core-r7-5700u-5th-gen-16-gb-1-tb-ssd-windows-11-home-13alc6-2-1-laptop/p/itm4cabce05238a7pid=comgd8z4unzndh2d&lid=lstcomgd8z4unzndh2d58dpf3&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_80&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgd8z4unzndh2d.search&ssid=3s0bamxoztl6qzgg1653219740289,17000000
8,asus,tuf gaming f15,intel core i5 10th gen,windows 11 home,1 tb,8 gb,15.6,12406321,https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lh-hn310w-laptop/p/itm2aff3fc0e3cbbpid=comgd6kgrf4cz2pb&lid=lstcomgd6kgrf4cz2pbx0tkut&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_81&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgd6kgrf4cz2pb.search&ssid=3s0bamxoztl6qzgg1653219740289,12000000
9,dell,inspiron 3521, ,windows 11 home,256 gb,8 gb, ,6299372,https://www.flipkart.com/dell-inspiron-pentium-silver-8-gb-256-gb-ssd-windows-11-home-3521-notebook/p/itm8a3845e0d7c3dpid=comgcyf92hfjxhtu&lid=lstcomgcyf92hfjxhtuawjiwy&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_82&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcyf92hfjxhtu.search&ssid=3s0bamxoztl6qzgg1653219740289,6000000
10,dell,inspiron 3525, ,windows 11 home,256 gb,8 gb, ,5915862,https://www.flipkart.com/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ffpid=comgcyf9ezkkpewd&lid=lstcomgcyf9ezkkpewdxssfwj&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_83&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcyf9ezkkpewd.search&ssid=3s0bamxoztl6qzgg1653219740289,5000000
11,dell,xps 9305,intel core i5 11th gen,windows 11 home,512 gb,16 gb,13.4,28566610,https://www.flipkart.com/dell-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-xps-9305-thin-light-laptop/p/itm401718e258f55pid=comgbtb4g43budzf&lid=lstcomgbtb4g43budzfpxnsql&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_84&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgbtb4g43budzf.search&ssid=3s0bamxoztl6qzgg1653219740289,28000000
12,lenovo,yoga slim 7,amd ryzen 7 octa core 5th gen,windows 10 home,512 gb,16 gb,14,18940495,https://www.flipkart.com/lenovo-yoga-7i-ryzen-7-octa-core-r7-5800u-5th-gen-16-gb-512-gb-ssd-windows-10-home-14itl5-2-1-laptop/p/itmb3d84b43baa67pid=comgd4y5g53zv9qf&lid=lstcomgd4y5g53zv9qftei6do&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_85&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgd4y5g53zv9qf.search&ssid=3s0bamxoztl6qzgg1653219740289,18000000
