index,specification
0,asus intel core i9 12th gen windows 11 home 1 tb 32 gb 17.3 44000000
1,asus intel core i9 12th gen windows 11 home 1 tb 32 gb 15.6 43000000
2,hp windows 11 home 512 gb 16 16.1 19000000
3,lenovo amd ryzen 7 octa core 5th gen windows 11 home 512 gb 16 15.6 16000000
4,lenovo intel core i5 11th gen windows 11 home 512 gb 16 14 14000000
5,lenovo intel core i7 11th gen windows 11 home 512 gb 16 14 14000000
6,lenovo windows 10 256 gb 4 15.6 5000000
7,lenovo amd ryzen 7 octa core 5th gen windows 11 home 1 tb 16 gb 13.3 17000000
8,asus intel core i5 10th gen windows 11 home 1 tb 8 gb 15.6 12000000
9,dell windows 11 home 256 gb 8 6000000
10,dell windows 11 home 256 gb 8 5000000
11,dell intel core i5 11th gen windows 11 home 512 gb 16 13.4 28000000
12,lenovo amd ryzen 7 octa core 5th gen windows 10 home 512 gb 16 14 18000000
13,asus amd ryzen 7 dual core 7th gen windows 11 home 512 gb 16 15.6 15000000
14,asus amd ryzen 3 quad core 3rd gen windows 11 home 256 gb 8 15.6 7000000
15,asus amd ryzen 9 octa core 5th gen windows 10 home 1 tb 32 gb 24000000
16,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 30000000
17,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 9000000
18,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
19,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
20,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
21,dell intel core i7 11th gen windows 11 home 512 gb 16 15.6 19000000
22,dell windows 11 home 512 gb 8 15.6 13000000
23,avita windows 11 home 128 gb 4 4000000
24,asus intel core i5 12th gen windows 11 home 512 gb 16 14000000
25,asus intel core i7 12th gen windows 11 home 512 gb 16 14 18000000
26,asus intel core i5 12th gen windows 11 home 512 gb 16 14 17000000
27,asus intel core i7 12th gen windows 11 home 1 tb 16 gb 14 25000000
28,asus intel core i5 12th gen windows 11 home 512 gb 16 14000000
29,asus intel core i7 12th gen windows 11 home 512 gb 16 14 20000000
30,asus intel core i7 12th gen windows 11 home 512 gb 16 18000000
31,asus intel core i5 12th gen windows 11 home 512 gb 16 14 21000000
32,dell windows 11 home 256 gb 8 14 8000000
33,asus amd ryzen 7 hexa core 10th gen windows 10 home 512 gb 8 15.6 15000000
34,asus amd ryzen 9 octa core 10th gen windows 11 home 512 gb 16 16.6 20000000
35,asus intel core i5 10th gen windows 11 home 256 gb 8 15.6 8000000
36,asus intel core i5 11th gen windows 10 home 256 gb 8 15.6 12000000
37,asus amd ryzen 7 quad core 10th gen windows 10 home 512 gb 8 17.3 15000000
38,asus intel core i5 11th gen windows 11 home 512 gb 16 14 11000000
39,asus intel core i5 10th gen windows 11 home 512 gb 8 15.6 9000000
40,dell intel core i7 12th gen windows 11 home 1 tb 16 gb 26000000
41,dell intel core i5 12th gen windows 11 home 512 gb 16 16000000
42,dell intel core i7 12th gen windows 11 home 512 gb 16 24000000
43,asus intel core i3 11th gen windows 10 home 256 gb 8 15.6 7000000
